"행정구역별(1)","행정구역별(2)",인구현황별(1),인구현황별(2),2019
"인천광역시","연수구",연령별 (명),15~64세(생산가능),275724
"인천광역시","연수구",연령별 (명),65세이상(고령),34346
"인천광역시","연수구",외국인등록인구수 (명),소계,13177
"인천광역시","연수구",외국인등록인구수 (명),남자,6823
"인천광역시","연수구",외국인등록인구수 (명),여자,6354
"인천광역시","연수구",인구밀도 (명/㎢),소계,6670.61
"인천광역시","연수구",인구증가율 (%),소계,5.83
"인천광역시","남동구",면적 (㎢),소계,57.02
"인천광역시","남동구",전년말주민등록인구수 (명),소계,537161
"인천광역시","남동구",성별 (명),소계,532704
"인천광역시","남동구",성별 (명),남자,264955
"인천광역시","남동구",성별 (명),여자,267749
"인천광역시","남동구",연령별 (명),소계,532704
"인천광역시","남동구",연령별 (명),0~14세(유소년),70333
"인천광역시","남동구",연령별 (명),15~64세(생산가능),395948
"인천광역시","남동구",연령별 (명),65세이상(고령),66423
"인천광역시","남동구",외국인등록인구수 (명),소계,12427
"인천광역시","남동구",외국인등록인구수 (명),남자,8264
"인천광역시","남동구",외국인등록인구수 (명),여자,4163
"인천광역시","남동구",인구밀도 (명/㎢),소계,9342.41
"인천광역시","남동구",인구증가율 (%),소계,-0.83
"인천광역시","부평구",면적 (㎢),소계,32.01
"인천광역시","부평구",전년말주민등록인구수 (명),소계,524640
"인천광역시","부평구",성별 (명),소계,511577
"인천광역시","부평구",성별 (명),남자,253338
"인천광역시","부평구",성별 (명),여자,258239
"인천광역시","부평구",연령별 (명),소계,511577
"인천광역시","부평구",연령별 (명),0~14세(유소년),57490
"인천광역시","부평구",연령별 (명),15~64세(생산가능),384538
"인천광역시","부평구",연령별 (명),65세이상(고령),69549
"인천광역시","부평구",외국인등록인구수 (명),소계,14549
"인천광역시","부평구",외국인등록인구수 (명),남자,7521
"인천광역시","부평구",외국인등록인구수 (명),여자,7028
"인천광역시","부평구",인구밀도 (명/㎢),소계,15981.79
"인천광역시","부평구",인구증가율 (%),소계,-2.49
"인천광역시","계양구",면적 (㎢),소계,45.57
"인천광역시","계양구",전년말주민등록인구수 (명),소계,312680
"인천광역시","계양구",성별 (명),소계,303471
"인천광역시","계양구",성별 (명),남자,151569
"인천광역시","계양구",성별 (명),여자,151902
"인천광역시","계양구",연령별 (명),소계,303471
"인천광역시","계양구",연령별 (명),0~14세(유소년),33084
"인천광역시","계양구",연령별 (명),15~64세(생산가능),235344
"인천광역시","계양구",연령별 (명),65세이상(고령),35043
"인천광역시","계양구",외국인등록인구수 (명),소계,3346
"인천광역시","계양구",외국인등록인구수 (명),남자,1506
"인천광역시","계양구",외국인등록인구수 (명),여자,1840
"인천광역시","계양구",인구밀도 (명/㎢),소계,6659.45
"인천광역시","계양구",인구증가율 (%),소계,-2.95
"인천광역시","서구",면적 (㎢),소계,117.09
"인천광역시","서구",전년말주민등록인구수 (명),소계,538596
"인천광역시","서구",성별 (명),소계,544556
"인천광역시","서구",성별 (명),남자,274942
"인천광역시","서구",성별 (명),여자,269614
"인천광역시","서구",연령별 (명),소계,544556
"인천광역시","서구",연령별 (명),0~14세(유소년),81203
"인천광역시","서구",연령별 (명),15~64세(생산가능),409662
"인천광역시","서구",연령별 (명),65세이상(고령),53691
"인천광역시","서구",외국인등록인구수 (명),소계,12859
"인천광역시","서구",외국인등록인구수 (명),남자,8754
"인천광역시","서구",외국인등록인구수 (명),여자,4105
"인천광역시","서구",인구밀도 (명/㎢),소계,4650.75
"인천광역시","서구",인구증가율 (%),소계,1.11
"인천광역시","강화군",면적 (㎢),소계,411.41
"인천광역시","강화군",전년말주민등록인구수 (명),소계,68896
"인천광역시","강화군",성별 (명),소계,69178
"인천광역시","강화군",성별 (명),남자,34665
"인천광역시","강화군",성별 (명),여자,34513
"인천광역시","강화군",연령별 (명),소계,69178
"인천광역시","강화군",연령별 (명),0~14세(유소년),5581
"인천광역시","강화군",연령별 (명),15~64세(생산가능),41695
"인천광역시","강화군",연령별 (명),65세이상(고령),21902
"인천광역시","강화군",외국인등록인구수 (명),소계,859
"인천광역시","강화군",외국인등록인구수 (명),남자,573
"인천광역시","강화군",외국인등록인구수 (명),여자,286
"인천광역시","강화군",인구밀도 (명/㎢),소계,168.15
"인천광역시","강화군",인구증가율 (%),소계,0.41
"인천광역시","옹진군",면적 (㎢),소계,172.90
"인천광역시","옹진군",전년말주민등록인구수 (명),소계,21036
"인천광역시","옹진군",성별 (명),소계,20566
"인천광역시","옹진군",성별 (명),남자,11678
"인천광역시","옹진군",성별 (명),여자,8888
"인천광역시","옹진군",연령별 (명),소계,20566
"인천광역시","옹진군",연령별 (명),0~14세(유소년),1539
"인천광역시","옹진군",연령별 (명),15~64세(생산가능),13902
"인천광역시","옹진군",연령별 (명),65세이상(고령),5125
"인천광역시","옹진군",외국인등록인구수 (명),소계,225
"인천광역시","옹진군",외국인등록인구수 (명),남자,165
"인천광역시","옹진군",외국인등록인구수 (명),여자,60
"인천광역시","옹진군",인구밀도 (명/㎢),소계,118.95
"인천광역시","옹진군",인구증가율 (%),소계,-2.23
"광주광역시","소계",면적 (㎢),소계,501.14
"광주광역시","소계",전년말주민등록인구수 (명),소계,1459336
"광주광역시","소계",성별 (명),소계,1456468
"광주광역시","소계",성별 (명),남자,720740
"광주광역시","소계",성별 (명),여자,735728
"광주광역시","소계",연령별 (명),소계,1456468
"광주광역시","소계",연령별 (명),0~14세(유소년),201037
"광주광역시","소계",연령별 (명),15~64세(생산가능),1059952
"광주광역시","소계",연령별 (명),65세이상(고령),195479
"광주광역시","소계",외국인등록인구수 (명),소계,23825
"광주광역시","소계",외국인등록인구수 (명),남자,13020
"광주광역시","소계",외국인등록인구수 (명),여자,10805
"광주광역시","소계",인구밀도 (명/㎢),소계,2906.31
"광주광역시","소계",인구증가율 (%),소계,-0.20
"광주광역시","동구",면적 (㎢),소계,49.31
"광주광역시","동구",전년말주민등록인구수 (명),소계,94475
"광주광역시","동구",성별 (명),소계,98585
"광주광역시","동구",성별 (명),남자,48799
"광주광역시","동구",성별 (명),여자,49786
"광주광역시","동구",연령별 (명),소계,98585
"광주광역시","동구",연령별 (명),0~14세(유소년),9658
"광주광역시","동구",연령별 (명),15~64세(생산가능),67789
"광주광역시","동구",연령별 (명),65세이상(고령),21138
"광주광역시","동구",외국인등록인구수 (명),소계,1919
"광주광역시","동구",외국인등록인구수 (명),남자,988
"광주광역시","동구",외국인등록인구수 (명),여자,931
"광주광역시","동구",인구밀도 (명/㎢),소계,1999.29
"광주광역시","동구",인구증가율 (%),소계,4.35
"광주광역시","서구",면적 (㎢),소계,47.75
"광주광역시","서구",전년말주민등록인구수 (명),소계,304172
"광주광역시","서구",성별 (명),소계,300975
"광주광역시","서구",성별 (명),남자,147671
"광주광역시","서구",성별 (명),여자,153304
"광주광역시","서구",연령별 (명),소계,300975
"광주광역시","서구",연령별 (명),0~14세(유소년),38220
"광주광역시","서구",연령별 (명),15~64세(생산가능),222509
"광주광역시","서구",연령별 (명),65세이상(고령),40246
"광주광역시","서구",외국인등록인구수 (명),소계,1691
"광주광역시","서구",외국인등록인구수 (명),남자,758
"광주광역시","서구",외국인등록인구수 (명),여자,933
"광주광역시","서구",인구밀도 (명/㎢),소계,6303.14
"광주광역시","서구",인구증가율 (%),소계,-1.05
"광주광역시","남구",면적 (㎢),소계,61.02
"광주광역시","남구",전년말주민등록인구수 (명),소계,216369
"광주광역시","남구",성별 (명),소계,218060
"광주광역시","남구",성별 (명),남자,105027
"광주광역시","남구",성별 (명),여자,113033
"광주광역시","남구",연령별 (명),소계,218060
"광주광역시","남구",연령별 (명),0~14세(유소년),29213
"광주광역시","남구",연령별 (명),15~64세(생산가능),152685
"광주광역시","남구",연령별 (명),65세이상(고령),36162
"광주광역시","남구",외국인등록인구수 (명),소계,1553
"광주광역시","남구",외국인등록인구수 (명),남자,626
"광주광역시","남구",외국인등록인구수 (명),여자,927
"광주광역시","남구",인구밀도 (명/㎢),소계,3573.58
"광주광역시","남구",인구증가율 (%),소계,0.78
"광주광역시","북구",면적 (㎢),소계,120.28
"광주광역시","북구",전년말주민등록인구수 (명),소계,439773
"광주광역시","북구",성별 (명),소계,433533
"광주광역시","북구",성별 (명),남자,215260
"광주광역시","북구",성별 (명),여자,218273
"광주광역시","북구",연령별 (명),소계,433533
"광주광역시","북구",연령별 (명),0~14세(유소년),55195
"광주광역시","북구",연령별 (명),15~64세(생산가능),316892
"광주광역시","북구",연령별 (명),65세이상(고령),61446
"광주광역시","북구",외국인등록인구수 (명),소계,5201
"광주광역시","북구",외국인등록인구수 (명),남자,2527
"광주광역시","북구",외국인등록인구수 (명),여자,2674
"광주광역시","북구",인구밀도 (명/㎢),소계,3604.36
"광주광역시","북구",인구증가율 (%),소계,-1.42
"광주광역시","광산구",면적 (㎢),소계,222.78
"광주광역시","광산구",전년말주민등록인구수 (명),소계,404547
"광주광역시","광산구",성별 (명),소계,405315
"광주광역시","광산구",성별 (명),남자,203983
"광주광역시","광산구",성별 (명),여자,201332
"광주광역시","광산구",연령별 (명),소계,405315
"광주광역시","광산구",연령별 (명),0~14세(유소년),68751
"광주광역시","광산구",연령별 (명),15~64세(생산가능),300077
"광주광역시","광산구",연령별 (명),65세이상(고령),36487
"광주광역시","광산구",외국인등록인구수 (명),소계,13461
"광주광역시","광산구",외국인등록인구수 (명),남자,8121
"광주광역시","광산구",외국인등록인구수 (명),여자,5340
"광주광역시","광산구",인구밀도 (명/㎢),소계,1819.35
"광주광역시","광산구",인구증가율 (%),소계,0.19
"대전광역시","소계",면적 (㎢),소계,539.63
"대전광역시","소계",전년말주민등록인구수 (명),소계,1489936
"대전광역시","소계",성별 (명),소계,1474870
"대전광역시","소계",성별 (명),남자,736607
"대전광역시","소계",성별 (명),여자,738263
"대전광역시","소계",연령별 (명),소계,1474870
"대전광역시","소계",연령별 (명),0~14세(유소년),191833
"대전광역시","소계",연령별 (명),15~64세(생산가능),1084346
"대전광역시","소계",연령별 (명),65세이상(고령),198691
"대전광역시","소계",외국인등록인구수 (명),소계,19109
"대전광역시","소계",외국인등록인구수 (명),남자,8837
"대전광역시","소계",외국인등록인구수 (명),여자,10272
"대전광역시","소계",인구밀도 (명/㎢),소계,2733.11
"대전광역시","소계",인구증가율 (%),소계,-1.01
"대전광역시","동구",면적 (㎢),소계,136.68
"대전광역시","동구",전년말주민등록인구수 (명),소계,229071
"대전광역시","동구",성별 (명),소계,226771
"대전광역시","동구",성별 (명),남자,114447
"대전광역시","동구",성별 (명),여자,112324
"대전광역시","동구",연령별 (명),소계,226771
"대전광역시","동구",연령별 (명),0~14세(유소년),25745
"대전광역시","동구",연령별 (명),15~64세(생산가능),160405
"대전광역시","동구",연령별 (명),65세이상(고령),40621
"대전광역시","동구",외국인등록인구수 (명),소계,5241
"대전광역시","동구",외국인등록인구수 (명),남자,2422
"대전광역시","동구",외국인등록인구수 (명),여자,2819
"대전광역시","동구",인구밀도 (명/㎢),소계,1659.14
"대전광역시","동구",인구증가율 (%),소계,-1.00
"대전광역시","중구",면적 (㎢),소계,62.18
"대전광역시","중구",전년말주민등록인구수 (명),소계,244421
"대전광역시","중구",성별 (명),소계,240473
"대전광역시","중구",성별 (명),남자,118864
"대전광역시","중구",성별 (명),여자,121609
"대전광역시","중구",연령별 (명),소계,240473
"대전광역시","중구",연령별 (명),0~14세(유소년),27061
"대전광역시","중구",연령별 (명),15~64세(생산가능),169764
"대전광역시","중구",연령별 (명),65세이상(고령),43648
"대전광역시","중구",외국인등록인구수 (명),소계,1533
"대전광역시","중구",외국인등록인구수 (명),남자,554
"대전광역시","중구",외국인등록인구수 (명),여자,979
"대전광역시","중구",인구밀도 (명/㎢),소계,3867.37
"대전광역시","중구",인구증가율 (%),소계,-1.62
"대전광역시","서구",면적 (㎢),소계,95.53
"대전광역시","서구",전년말주민등록인구수 (명),소계,484663
"대전광역시","서구",성별 (명),소계,481222
"대전광역시","서구",성별 (명),남자,236851
"대전광역시","서구",성별 (명),여자,244371
"대전광역시","서구",연령별 (명),소계,481222
"대전광역시","서구",연령별 (명),0~14세(유소년),63943
"대전광역시","서구",연령별 (명),15~64세(생산가능),360078
"대전광역시","서구",연령별 (명),65세이상(고령),57201
"대전광역시","서구",외국인등록인구수 (명),소계,3804
"대전광역시","서구",외국인등록인구수 (명),남자,1528
"대전광역시","서구",외국인등록인구수 (명),여자,2276
"대전광역시","서구",인구밀도 (명/㎢),소계,5037.39
"대전광역시","서구",인구증가율 (%),소계,-0.71
"대전광역시","유성구",면적 (㎢),소계,176.53
"대전광역시","유성구",전년말주민등록인구수 (명),소계,349790
"대전광역시","유성구",성별 (명),소계,349373
"대전광역시","유성구",성별 (명),남자,176415
"대전광역시","유성구",성별 (명),여자,172958
"대전광역시","유성구",연령별 (명),소계,349373
"대전광역시","유성구",연령별 (명),0~14세(유소년),55493
"대전광역시","유성구",연령별 (명),15~64세(생산가능),262698
"대전광역시","유성구",연령별 (명),65세이상(고령),31182
"대전광역시","유성구",외국인등록인구수 (명),소계,6143
"대전광역시","유성구",외국인등록인구수 (명),남자,3131
"대전광역시","유성구",외국인등록인구수 (명),여자,3012
"대전광역시","유성구",인구밀도 (명/㎢),소계,1979.11
"대전광역시","유성구",인구증가율 (%),소계,-0.12
"대전광역시","대덕구",면적 (㎢),소계,68.71
"대전광역시","대덕구",전년말주민등록인구수 (명),소계,181991
"대전광역시","대덕구",성별 (명),소계,177031
"대전광역시","대덕구",성별 (명),남자,90030
"대전광역시","대덕구",성별 (명),여자,87001
"대전광역시","대덕구",연령별 (명),소계,177031
"대전광역시","대덕구",연령별 (명),0~14세(유소년),19591
"대전광역시","대덕구",연령별 (명),15~64세(생산가능),131401
"대전광역시","대덕구",연령별 (명),65세이상(고령),26039
"대전광역시","대덕구",외국인등록인구수 (명),소계,2388
"대전광역시","대덕구",외국인등록인구수 (명),남자,1202
"대전광역시","대덕구",외국인등록인구수 (명),여자,1186
"대전광역시","대덕구",인구밀도 (명/㎢),소계,2576.50
"대전광역시","대덕구",인구증가율 (%),소계,-2.73
"울산광역시","소계",면적 (㎢),소계,1062.04
"울산광역시","소계",전년말주민등록인구수 (명),소계,1155623
"울산광역시","소계",성별 (명),소계,1148019
"울산광역시","소계",성별 (명),남자,589712
"울산광역시","소계",성별 (명),여자,558307
"울산광역시","소계",연령별 (명),소계,1148019
"울산광역시","소계",연령별 (명),0~14세(유소년),159310
"울산광역시","소계",연령별 (명),15~64세(생산가능),856144
"울산광역시","소계",연령별 (명),65세이상(고령),132565
"울산광역시","소계",외국인등록인구수 (명),소계,20450
"울산광역시","소계",외국인등록인구수 (명),남자,12338
"울산광역시","소계",외국인등록인구수 (명),여자,8112
"울산광역시","소계",인구밀도 (명/㎢),소계,1080.96
"울산광역시","소계",인구증가율 (%),소계,-0.66
"울산광역시","중구",면적 (㎢),소계,37.01
"울산광역시","중구",전년말주민등록인구수 (명),소계,231973
"울산광역시","중구",성별 (명),소계,223581
"울산광역시","중구",성별 (명),남자,113526
"울산광역시","중구",성별 (명),여자,110055
"울산광역시","중구",연령별 (명),소계,223581
"울산광역시","중구",연령별 (명),0~14세(유소년),27772
"울산광역시","중구",연령별 (명),15~64세(생산가능),164786
"울산광역시","중구",연령별 (명),65세이상(고령),31023
"울산광역시","중구",외국인등록인구수 (명),소계,2063
"울산광역시","중구",외국인등록인구수 (명),남자,857
"울산광역시","중구",외국인등록인구수 (명),여자,1206
"울산광역시","중구",인구밀도 (명/㎢),소계,6041.10
"울산광역시","중구",인구증가율 (%),소계,-3.62
"울산광역시","남구",면적 (㎢),소계,73.47
"울산광역시","남구",전년말주민등록인구수 (명),소계,330732
"울산광역시","남구",성별 (명),소계,323819
"울산광역시","남구",성별 (명),남자,165062
"울산광역시","남구",성별 (명),여자,158757
"울산광역시","남구",연령별 (명),소계,323819
"울산광역시","남구",연령별 (명),0~14세(유소년),39141
"울산광역시","남구",연령별 (명),15~64세(생산가능),248360
"울산광역시","남구",연령별 (명),65세이상(고령),36318
"울산광역시","남구",외국인등록인구수 (명),소계,5113
"울산광역시","남구",외국인등록인구수 (명),남자,2655
"울산광역시","남구",외국인등록인구수 (명),여자,2458
"울산광역시","남구",인구밀도 (명/㎢),소계,4407.50
"울산광역시","남구",인구증가율 (%),소계,-2.09
"울산광역시","동구",면적 (㎢),소계,36.07
"울산광역시","동구",전년말주민등록인구수 (명),소계,164642
"울산광역시","동구",성별 (명),소계,159656
"울산광역시","동구",성별 (명),남자,83391
"울산광역시","동구",성별 (명),여자,76265
"울산광역시","동구",연령별 (명),소계,159656
"울산광역시","동구",연령별 (명),0~14세(유소년),24071
"울산광역시","동구",연령별 (명),15~64세(생산가능),117396
"울산광역시","동구",연령별 (명),65세이상(고령),18189
"울산광역시","동구",외국인등록인구수 (명),소계,3450
"울산광역시","동구",외국인등록인구수 (명),남자,2277
"울산광역시","동구",외국인등록인구수 (명),여자,1173
"울산광역시","동구",인구밀도 (명/㎢),소계,4426.28
"울산광역시","동구",인구증가율 (%),소계,-3.03
"울산광역시","북구",면적 (㎢),소계,157.36
"울산광역시","북구",전년말주민등록인구수 (명),소계,206434
"울산광역시","북구",성별 (명),소계,217796
"울산광역시","북구",성별 (명),남자,112588
"울산광역시","북구",성별 (명),여자,105208
"울산광역시","북구",연령별 (명),소계,217796
"울산광역시","북구",연령별 (명),0~14세(유소년),38394
"울산광역시","북구",연령별 (명),15~64세(생산가능),162953
"울산광역시","북구",연령별 (명),65세이상(고령),16449
"울산광역시","북구",외국인등록인구수 (명),소계,2527
"울산광역시","북구",외국인등록인구수 (명),남자,1504
"울산광역시","북구",외국인등록인구수 (명),여자,1023
"울산광역시","북구",인구밀도 (명/㎢),소계,1384.06
"울산광역시","북구",인구증가율 (%),소계,5.50
"울산광역시","울주군",면적 (㎢),소계,758.13
"울산광역시","울주군",전년말주민등록인구수 (명),소계,221842
"울산광역시","울주군",성별 (명),소계,223167
"울산광역시","울주군",성별 (명),남자,115145
"울산광역시","울주군",성별 (명),여자,108022
"울산광역시","울주군",연령별 (명),소계,223167
"울산광역시","울주군",연령별 (명),0~14세(유소년),29932
"울산광역시","울주군",연령별 (명),15~64세(생산가능),162649
"울산광역시","울주군",연령별 (명),65세이상(고령),30586
"울산광역시","울주군",외국인등록인구수 (명),소계,7297
"울산광역시","울주군",외국인등록인구수 (명),남자,5045
"울산광역시","울주군",외국인등록인구수 (명),여자,2252
"울산광역시","울주군",인구밀도 (명/㎢),소계,294.37
"울산광역시","울주군",인구증가율 (%),소계,0.60
"세종특별자치시","소계",면적 (㎢),소계,464.95
"세종특별자치시","소계",전년말주민등록인구수 (명),소계,314126
"세종특별자치시","소계",성별 (명),소계,340575
"세종특별자치시","소계",성별 (명),남자,169845
"세종특별자치시","소계",성별 (명),여자,170730
"세종특별자치시","소계",연령별 (명),소계,340575
"세종특별자치시","소계",연령별 (명),0~14세(유소년),69570
"세종특별자치시","소계",연령별 (명),15~64세(생산가능),239056
"세종특별자치시","소계",연령별 (명),65세이상(고령),31949
"세종특별자치시","소계",외국인등록인구수 (명),소계,5700
"세종특별자치시","소계",외국인등록인구수 (명),남자,3587
"세종특별자치시","소계",외국인등록인구수 (명),여자,2113
"세종특별자치시","소계",인구밀도 (명/㎢),소계,732.50
"세종특별자치시","소계",인구증가율 (%),소계,8.42
"경기도","소계",면적 (㎢),소계,10192.51
"경기도","소계",전년말주민등록인구수 (명),소계,13077153
"경기도","소계",성별 (명),소계,13239666
"경기도","소계",성별 (명),남자,6659995
"경기도","소계",성별 (명),여자,6579671
"경기도","소계",연령별 (명),소계,13239666
"경기도","소계",연령별 (명),0~14세(유소년),1828203
"경기도","소계",연령별 (명),15~64세(생산가능),9760122
"경기도","소계",연령별 (명),65세이상(고령),1651341
"경기도","소계",외국인등록인구수 (명),소계,414318
"경기도","소계",외국인등록인구수 (명),남자,250595
"경기도","소계",외국인등록인구수 (명),여자,163723
"경기도","소계",인구밀도 (명/㎢),소계,1298.96
"경기도","소계",인구증가율 (%),소계,1.24
"경기도","수원시",면적 (㎢),소계,121.09
"경기도","수원시",전년말주민등록인구수 (명),소계,1201166
"경기도","수원시",성별 (명),소계,1194465
"경기도","수원시",성별 (명),남자,601410
"경기도","수원시",성별 (명),여자,593055
"경기도","수원시",연령별 (명),소계,1194465
"경기도","수원시",연령별 (명),0~14세(유소년),161288
"경기도","수원시",연령별 (명),15~64세(생산가능),909530
"경기도","수원시",연령별 (명),65세이상(고령),123647
"경기도","수원시",외국인등록인구수 (명),소계,40557
"경기도","수원시",외국인등록인구수 (명),남자,21499
"경기도","수원시",외국인등록인구수 (명),여자,19058
"경기도","수원시",인구밀도 (명/㎢),소계,9864.27
"경기도","수원시",인구증가율 (%),소계,-0.56
"경기도","성남시",면적 (㎢),소계,141.63
"경기도","성남시",전년말주민등록인구수 (명),소계,954347
"경기도","성남시",성별 (명),소계,942724
"경기도","성남시",성별 (명),남자,466644
"경기도","성남시",성별 (명),여자,476080
"경기도","성남시",연령별 (명),소계,942724
"경기도","성남시",연령별 (명),0~14세(유소년),113832
"경기도","성남시",연령별 (명),15~64세(생산가능),703085
"경기도","성남시",연령별 (명),65세이상(고령),125807
"경기도","성남시",외국인등록인구수 (명),소계,17618
"경기도","성남시",외국인등록인구수 (명),남자,8878
"경기도","성남시",외국인등록인구수 (명),여자,8740
"경기도","성남시",인구밀도 (명/㎢),소계,6655.78
"경기도","성남시",인구증가율 (%),소계,-1.22
"경기도","의정부시",면적 (㎢),소계,81.54
"경기도","의정부시",전년말주민등록인구수 (명),소계,447026
"경기도","의정부시",성별 (명),소계,451868
"경기도","의정부시",성별 (명),남자,222590
"경기도","의정부시",성별 (명),여자,229278
"경기도","의정부시",연령별 (명),소계,451868
"경기도","의정부시",연령별 (명),0~14세(유소년),55022
"경기도","의정부시",연령별 (명),15~64세(생산가능),331574
"경기도","의정부시",연령별 (명),65세이상(고령),65272
"경기도","의정부시",외국인등록인구수 (명),소계,4908
"경기도","의정부시",외국인등록인구수 (명),남자,2252
"경기도","의정부시",외국인등록인구수 (명),여자,2656
"경기도","의정부시",인구밀도 (명/㎢),소계,5541.67
"경기도","의정부시",인구증가율 (%),소계,1.08
"경기도","안양시",면적 (㎢),소계,58.47
"경기도","안양시",전년말주민등록인구수 (명),소계,576831
"경기도","안양시",성별 (명),소계,567044
"경기도","안양시",성별 (명),남자,280652
"경기도","안양시",성별 (명),여자,286392
"경기도","안양시",연령별 (명),소계,567044
"경기도","안양시",연령별 (명),0~14세(유소년),67734
"경기도","안양시",연령별 (명),15~64세(생산가능),427667
"경기도","안양시",연령별 (명),65세이상(고령),71643
"경기도","안양시",외국인등록인구수 (명),소계,7420
"경기도","안양시",외국인등록인구수 (명),남자,3670
"경기도","안양시",외국인등록인구수 (명),여자,3750
"경기도","안양시",인구밀도 (명/㎢),소계,9698.03
"경기도","안양시",인구증가율 (%),소계,-1.70
"경기도","부천시",면적 (㎢),소계,53.45
"경기도","부천시",전년말주민등록인구수 (명),소계,843768
"경기도","부천시",성별 (명),소계,829996
"경기도","부천시",성별 (명),남자,412500
"경기도","부천시",성별 (명),여자,417496
"경기도","부천시",연령별 (명),소계,829996
"경기도","부천시",연령별 (명),0~14세(유소년),95810
"경기도","부천시",연령별 (명),15~64세(생산가능),630097
"경기도","부천시",연령별 (명),65세이상(고령),104089
"경기도","부천시",외국인등록인구수 (명),소계,25689
"경기도","부천시",외국인등록인구수 (명),남자,13486
"경기도","부천시",외국인등록인구수 (명),여자,12203
"경기도","부천시",인구밀도 (명/㎢),소계,15528.46
"경기도","부천시",인구증가율 (%),소계,-1.63
"경기도","광명시",면적 (㎢),소계,38.53
"경기도","광명시",전년말주민등록인구수 (명),소계,326841
"경기도","광명시",성별 (명),소계,316552
"경기도","광명시",성별 (명),남자,156405
"경기도","광명시",성별 (명),여자,160147
"경기도","광명시",연령별 (명),소계,316552
"경기도","광명시",연령별 (명),0~14세(유소년),41092
"경기도","광명시",연령별 (명),15~64세(생산가능),234063
"경기도","광명시",연령별 (명),65세이상(고령),41397
"경기도","광명시",외국인등록인구수 (명),소계,5942
"경기도","광명시",외국인등록인구수 (명),남자,2995
"경기도","광명시",외국인등록인구수 (명),여자,2947
"경기도","광명시",인구밀도 (명/㎢),소계,8215.73
"경기도","광명시",인구증가율 (%),소계,-3.15
"경기도","평택시",면적 (㎢),소계,458.24
"경기도","평택시",전년말주민등록인구수 (명),소계,495642
"경기도","평택시",성별 (명),소계,513027
"경기도","평택시",성별 (명),남자,264012
"경기도","평택시",성별 (명),여자,249015
"경기도","평택시",연령별 (명),소계,513027
"경기도","평택시",연령별 (명),0~14세(유소년),73724
"경기도","평택시",연령별 (명),15~64세(생산가능),377393
"경기도","평택시",연령별 (명),65세이상(고령),61910
"경기도","평택시",외국인등록인구수 (명),소계,24108
"경기도","평택시",외국인등록인구수 (명),남자,14114
"경기도","평택시",외국인등록인구수 (명),여자,9994
"경기도","평택시",인구밀도 (명/㎢),소계,1119.56
"경기도","평택시",인구증가율 (%),소계,3.51
"경기도","동두천시",면적 (㎢),소계,95.66
"경기도","동두천시",전년말주민등록인구수 (명),소계,96226
"경기도","동두천시",성별 (명),소계,94768
"경기도","동두천시",성별 (명),남자,47308
"경기도","동두천시",성별 (명),여자,47460
"경기도","동두천시",연령별 (명),소계,94768
"경기도","동두천시",연령별 (명),0~14세(유소년),11125
"경기도","동두천시",연령별 (명),15~64세(생산가능),65299
"경기도","동두천시",연령별 (명),65세이상(고령),18344
"경기도","동두천시",외국인등록인구수 (명),소계,3477
"경기도","동두천시",외국인등록인구수 (명),남자,2029
"경기도","동두천시",외국인등록인구수 (명),여자,1448
"경기도","동두천시",인구밀도 (명/㎢),소계,990.68
"경기도","동두천시",인구증가율 (%),소계,-1.52
"경기도","안산시",면적 (㎢),소계,155.73
"경기도","안산시",전년말주민등록인구수 (명),소계,660343
"경기도","안산시",성별 (명),소계,650918
"경기도","안산시",성별 (명),남자,333766
"경기도","안산시",성별 (명),여자,317152
"경기도","안산시",연령별 (명),소계,650918
"경기도","안산시",연령별 (명),0~14세(유소년),75473
"경기도","안산시",연령별 (명),15~64세(생산가능),509007
"경기도","안산시",연령별 (명),65세이상(고령),66438
"경기도","안산시",외국인등록인구수 (명),소계,56467
"경기도","안산시",외국인등록인구수 (명),남자,32567
"경기도","안산시",외국인등록인구수 (명),여자,23900
"경기도","안산시",인구밀도 (명/㎢),소계,4179.79
"경기도","안산시",인구증가율 (%),소계,-1.43
"경기도","고양시",면적 (㎢),소계,268.09
"경기도","고양시",전년말주민등록인구수 (명),소계,1044189
"경기도","고양시",성별 (명),소계,1066351
"경기도","고양시",성별 (명),남자,522749
"경기도","고양시",성별 (명),여자,543602
"경기도","고양시",연령별 (명),소계,1066351
"경기도","고양시",연령별 (명),0~14세(유소년),134052
"경기도","고양시",연령별 (명),15~64세(생산가능),797027
"경기도","고양시",연령별 (명),65세이상(고령),135272
"경기도","고양시",외국인등록인구수 (명),소계,12508
"경기도","고양시",외국인등록인구수 (명),남자,6471
"경기도","고양시",외국인등록인구수 (명),여자,6037
"경기도","고양시",인구밀도 (명/㎢),소계,3977.73
"경기도","고양시",인구증가율 (%),소계,2.12
"경기도","과천시",면적 (㎢),소계,35.87
"경기도","과천시",전년말주민등록인구수 (명),소계,58142
"경기도","과천시",성별 (명),소계,58289
"경기도","과천시",성별 (명),남자,28638
"경기도","과천시",성별 (명),여자,29651
"경기도","과천시",연령별 (명),소계,58289
"경기도","과천시",연령별 (명),0~14세(유소년),7377
"경기도","과천시",연령별 (명),15~64세(생산가능),42828
"경기도","과천시",연령별 (명),65세이상(고령),8084
"경기도","과천시",외국인등록인구수 (명),소계,173
"경기도","과천시",외국인등록인구수 (명),남자,82
